"book_title","paper_id","dc_type","authors","year","source","keyword"
"IIoT Edge Analytics: Deploying Machine Learning at the Wellhead to Identify Rod Pump Failure","SPE-192513-MS","conference-paper","Boguslawski, Bartosz, Schneider Electric | Boujonnier, Matthieu, Schneider Electric | Bissuel-Beauvais, Loryne, Schneider Electric | Saghir, Fahd, Schneider Electric | Sharma, Rajesh D., Schneider Electric",2018,"SPE","'machine+learning'"
"Video:                  Assessment of Data-Driven, Machine Learning Techniques for Machinery Prognostics of Offshore Assets","OTC-27577-PT","presentation","Lu, Ping, American Bureau of Shipping | Liu, Haitao, American Bureau of Shipping | Serratella, Christopher, American Bureau of Shipping | Wang, Xiaozhi, American Bureau of Shipping",2017,"OTC","'machine+learning'"
"Prediction of Remaining Life in Pipes using Machine Learning from Thickness Measurements","SPE-173995-MS","conference-paper","Sharifi, Mona, University of Southern California | Yao, Ke-Thia, University of Southern California | Raghavendra, S., University of Southern California | Ershaghi, Iraj, University of Southern California | House, Robert, Chevron U.S.A. Inc. | Blouin, Jacques, Chevron U.S.A. Inc.",2015,"SPE","'machine+learning'"
"Removing complex land noise with modern pattern recognition using Machine Learning","SEG-2017-W19-03","conference-paper","Stork, Christof, Land Seismic Noise Specialists",2017,"SEG","'machine+learning'"
"Correlating geological and seismic data with unconventional resource production curves using machine learning","SEG-2018-2993476","conference-paper","Smith, Ryan, Stanford University | Mukerji, Tapan, Stanford University | Lupo, Tony, SM Energy",2018,"SEG","'machine+learning'"
"Modeling Early Time Rate Decline in Unconventional Reservoirs Using Machine Learning Techniques","SPE-188231-MS","conference-paper","Vyas, Aditya, Texas A&M University | Datta-Gupta, Akhil, Texas A&M University | Mishra, Srikanta, Battelle",2017,"SPE","'machine+learning'"
"Rate of Penetration (ROP) Modeling Using Hybrid Models: Deterministic and Machine Learning","URTEC-2896522-MS","conference-paper","Hegde, Chiranth, The University of Texas | Soares, Cesar, The University of Texas | Gray, Ken, The University of Texas",2018,"URTEC","'machine+learning'"
"Using machine learning to estimate the flow of stress using microseismicity recorded during hydraulic fracturing","SEG-2018-2992584","conference-paper","Baig, Adam M., Meta Innovation Technologies | Ardakani, Ellie P., Meta Innovation Technologies",2018,"SEG","'machine+learning'"
"Multi-attribute reservoir parameter estimation based on a machine learning technique","SEG-2018-2992296","conference-paper","Yuan, Zhenyu, China University of Petroleum–Beijing, PST Service Corporation | Huang, Handong, China University of Petroleum–Beijing | Jiang, Yuxin, PST Service Corporation | Tang, Jinbiao, PST Service Corporation",2018,"SEG","'machine+learning'"
"Enhancing quantitative interpretation in the pre-stack domain with machine learning","SEG-2018-2980082","conference-paper","Bandura, Laura, Chevron Energy Technology Company",2018,"SEG","'machine+learning'"
"Video:                  Machine Learning as a Reliable Technology for Evaluating Time-Rate Performance of Unconventional Wells","SPE-174784-PT","presentation","Fulford, David S., Apache Corporation | Bowie, Braden, Apache Corporation | Berry, Michael E., Apache Corporation | Bowen, Bo, Apache Corporation | Turk, Derrick W., Terminus Data Science",2015,"SPE","'machine+learning'"
